,Location,value
252,WARRIGAL_RD N of HIGH STREET_RD,30
264,WARRIGAL_RD N of HIGH STREET_RD,39
276,WARRIGAL_RD N of HIGH STREET_RD,39
288,WARRIGAL_RD N of HIGH STREET_RD,48
300,WARRIGAL_RD N of HIGH STREET_RD,66
312,WARRIGAL_RD N of HIGH STREET_RD,100
324,WARRIGAL_RD N of HIGH STREET_RD,89
336,WARRIGAL_RD N of HIGH STREET_RD,98
348,WARRIGAL_RD N of HIGH STREET_RD,114
360,WARRIGAL_RD N of HIGH STREET_RD,128
372,WARRIGAL_RD N of HIGH STREET_RD,169
384,WARRIGAL_RD N of HIGH STREET_RD,201
396,WARRIGAL_RD N of HIGH STREET_RD,215
408,WARRIGAL_RD N of HIGH STREET_RD,254
420,WARRIGAL_RD N of HIGH STREET_RD,263
432,WARRIGAL_RD N of HIGH STREET_RD,270
444,WARRIGAL_RD N of HIGH STREET_RD,295
456,WARRIGAL_RD N of HIGH STREET_RD,326
468,WARRIGAL_RD N of HIGH STREET_RD,327
480,WARRIGAL_RD N of HIGH STREET_RD,292
492,WARRIGAL_RD N of HIGH STREET_RD,325
504,WARRIGAL_RD N of HIGH STREET_RD,365
516,WARRIGAL_RD N of HIGH STREET_RD,359
528,WARRIGAL_RD N of HIGH STREET_RD,332
540,WARRIGAL_RD N of HIGH STREET_RD,388
552,WARRIGAL_RD N of HIGH STREET_RD,358
564,WARRIGAL_RD N of HIGH STREET_RD,343
576,WARRIGAL_RD N of HIGH STREET_RD,350
588,WARRIGAL_RD N of HIGH STREET_RD,397
600,WARRIGAL_RD N of HIGH STREET_RD,331
612,WARRIGAL_RD N of HIGH STREET_RD,386
624,WARRIGAL_RD N of HIGH STREET_RD,373
636,WARRIGAL_RD N of HIGH STREET_RD,357
648,WARRIGAL_RD N of HIGH STREET_RD,343
660,WARRIGAL_RD N of HIGH STREET_RD,373
672,WARRIGAL_RD N of HIGH STREET_RD,387
684,WARRIGAL_RD N of HIGH STREET_RD,337
696,WARRIGAL_RD N of HIGH STREET_RD,370
708,WARRIGAL_RD N of HIGH STREET_RD,309
720,WARRIGAL_RD N of HIGH STREET_RD,325
732,WARRIGAL_RD N of HIGH STREET_RD,305
744,WARRIGAL_RD N of HIGH STREET_RD,280
756,WARRIGAL_RD N of HIGH STREET_RD,276
768,WARRIGAL_RD N of HIGH STREET_RD,274
780,WARRIGAL_RD N of HIGH STREET_RD,266
792,WARRIGAL_RD N of HIGH STREET_RD,273
804,WARRIGAL_RD N of HIGH STREET_RD,247
816,WARRIGAL_RD N of HIGH STREET_RD,236
828,WARRIGAL_RD N of HIGH STREET_RD,278
840,WARRIGAL_RD N of HIGH STREET_RD,271
852,WARRIGAL_RD N of HIGH STREET_RD,281
864,WARRIGAL_RD N of HIGH STREET_RD,255
876,WARRIGAL_RD N of HIGH STREET_RD,254
888,WARRIGAL_RD N of HIGH STREET_RD,243
900,WARRIGAL_RD N of HIGH STREET_RD,218
912,WARRIGAL_RD N of HIGH STREET_RD,208
924,WARRIGAL_RD N of HIGH STREET_RD,205
936,WARRIGAL_RD N of HIGH STREET_RD,211
948,WARRIGAL_RD N of HIGH STREET_RD,182
960,WARRIGAL_RD N of HIGH STREET_RD,162
972,WARRIGAL_RD N of HIGH STREET_RD,142
984,WARRIGAL_RD N of HIGH STREET_RD,133
996,WARRIGAL_RD N of HIGH STREET_RD,152
1008,WARRIGAL_RD N of HIGH STREET_RD,138
1020,WARRIGAL_RD N of HIGH STREET_RD,120
1032,WARRIGAL_RD N of HIGH STREET_RD,120
1044,WARRIGAL_RD N of HIGH STREET_RD,117
1056,WARRIGAL_RD N of HIGH STREET_RD,122
1068,WARRIGAL_RD N of HIGH STREET_RD,89
1080,WARRIGAL_RD N of HIGH STREET_RD,119
1092,WARRIGAL_RD N of HIGH STREET_RD,130
1104,WARRIGAL_RD N of HIGH STREET_RD,140
1116,WARRIGAL_RD N of HIGH STREET_RD,122
1128,WARRIGAL_RD N of HIGH STREET_RD,134
1140,WARRIGAL_RD N of HIGH STREET_RD,109
1,WARRIGAL_RD N of HIGH STREET_RD,107
13,WARRIGAL_RD N of HIGH STREET_RD,100
25,WARRIGAL_RD N of HIGH STREET_RD,71
37,WARRIGAL_RD N of HIGH STREET_RD,70
49,WARRIGAL_RD N of HIGH STREET_RD,60
