,Location,value
412,WARRIGAL_RD N of HIGH STREET_RD,322
424,WARRIGAL_RD N of HIGH STREET_RD,365
436,WARRIGAL_RD N of HIGH STREET_RD,288
448,WARRIGAL_RD N of HIGH STREET_RD,382
460,WARRIGAL_RD N of HIGH STREET_RD,350
472,WARRIGAL_RD N of HIGH STREET_RD,301
484,WARRIGAL_RD N of HIGH STREET_RD,283
496,WARRIGAL_RD N of HIGH STREET_RD,267
508,WARRIGAL_RD N of HIGH STREET_RD,303
520,WARRIGAL_RD N of HIGH STREET_RD,298
532,WARRIGAL_RD N of HIGH STREET_RD,283
544,WARRIGAL_RD N of HIGH STREET_RD,315
556,WARRIGAL_RD N of HIGH STREET_RD,286
568,WARRIGAL_RD N of HIGH STREET_RD,293
580,WARRIGAL_RD N of HIGH STREET_RD,287
592,WARRIGAL_RD N of HIGH STREET_RD,264
604,WARRIGAL_RD N of HIGH STREET_RD,322
616,WARRIGAL_RD N of HIGH STREET_RD,249
628,WARRIGAL_RD N of HIGH STREET_RD,288
640,WARRIGAL_RD N of HIGH STREET_RD,272
652,WARRIGAL_RD N of HIGH STREET_RD,278
664,WARRIGAL_RD N of HIGH STREET_RD,284
676,WARRIGAL_RD N of HIGH STREET_RD,294
688,WARRIGAL_RD N of HIGH STREET_RD,297
700,WARRIGAL_RD N of HIGH STREET_RD,287
712,WARRIGAL_RD N of HIGH STREET_RD,311
724,WARRIGAL_RD N of HIGH STREET_RD,299
736,WARRIGAL_RD N of HIGH STREET_RD,292
748,WARRIGAL_RD N of HIGH STREET_RD,335
760,WARRIGAL_RD N of HIGH STREET_RD,325
772,WARRIGAL_RD N of HIGH STREET_RD,344
784,WARRIGAL_RD N of HIGH STREET_RD,375
796,WARRIGAL_RD N of HIGH STREET_RD,273
808,WARRIGAL_RD N of HIGH STREET_RD,339
820,WARRIGAL_RD N of HIGH STREET_RD,330
832,WARRIGAL_RD N of HIGH STREET_RD,364
844,WARRIGAL_RD N of HIGH STREET_RD,331
856,WARRIGAL_RD N of HIGH STREET_RD,355
868,WARRIGAL_RD N of HIGH STREET_RD,331
880,WARRIGAL_RD N of HIGH STREET_RD,299
892,WARRIGAL_RD N of HIGH STREET_RD,273
904,WARRIGAL_RD N of HIGH STREET_RD,240
916,WARRIGAL_RD N of HIGH STREET_RD,287
928,WARRIGAL_RD N of HIGH STREET_RD,210
940,WARRIGAL_RD N of HIGH STREET_RD,177
952,WARRIGAL_RD N of HIGH STREET_RD,219
964,WARRIGAL_RD N of HIGH STREET_RD,156
976,WARRIGAL_RD N of HIGH STREET_RD,132
988,WARRIGAL_RD N of HIGH STREET_RD,135
1000,WARRIGAL_RD N of HIGH STREET_RD,137
1012,WARRIGAL_RD N of HIGH STREET_RD,131
1024,WARRIGAL_RD N of HIGH STREET_RD,118
1036,WARRIGAL_RD N of HIGH STREET_RD,124
1048,WARRIGAL_RD N of HIGH STREET_RD,128
1060,WARRIGAL_RD N of HIGH STREET_RD,132
1072,WARRIGAL_RD N of HIGH STREET_RD,127
1084,WARRIGAL_RD N of HIGH STREET_RD,87
1096,WARRIGAL_RD N of HIGH STREET_RD,92
1108,WARRIGAL_RD N of HIGH STREET_RD,54
1120,WARRIGAL_RD N of HIGH STREET_RD,67
1132,WARRIGAL_RD N of HIGH STREET_RD,61
1144,WARRIGAL_RD N of HIGH STREET_RD,32
5,WARRIGAL_RD N of HIGH STREET_RD,40
17,WARRIGAL_RD N of HIGH STREET_RD,36
29,WARRIGAL_RD N of HIGH STREET_RD,22
41,WARRIGAL_RD N of HIGH STREET_RD,21
53,WARRIGAL_RD N of HIGH STREET_RD,19
65,WARRIGAL_RD N of HIGH STREET_RD,12
77,WARRIGAL_RD N of HIGH STREET_RD,15
89,WARRIGAL_RD N of HIGH STREET_RD,15
101,WARRIGAL_RD N of HIGH STREET_RD,7
113,WARRIGAL_RD N of HIGH STREET_RD,9
125,WARRIGAL_RD N of HIGH STREET_RD,4
137,WARRIGAL_RD N of HIGH STREET_RD,6
149,WARRIGAL_RD N of HIGH STREET_RD,4
161,WARRIGAL_RD N of HIGH STREET_RD,5
173,WARRIGAL_RD N of HIGH STREET_RD,6
185,WARRIGAL_RD N of HIGH STREET_RD,10
197,WARRIGAL_RD N of HIGH STREET_RD,11
209,WARRIGAL_RD N of HIGH STREET_RD,9
221,WARRIGAL_RD N of HIGH STREET_RD,19
233,WARRIGAL_RD N of HIGH STREET_RD,18
245,WARRIGAL_RD N of HIGH STREET_RD,25
257,WARRIGAL_RD N of HIGH STREET_RD,39
269,WARRIGAL_RD N of HIGH STREET_RD,69
281,WARRIGAL_RD N of HIGH STREET_RD,74
293,WARRIGAL_RD N of HIGH STREET_RD,107
305,WARRIGAL_RD N of HIGH STREET_RD,178
317,WARRIGAL_RD N of HIGH STREET_RD,232
329,WARRIGAL_RD N of HIGH STREET_RD,257
341,WARRIGAL_RD N of HIGH STREET_RD,271
353,WARRIGAL_RD N of HIGH STREET_RD,360
365,WARRIGAL_RD N of HIGH STREET_RD,378
377,WARRIGAL_RD N of HIGH STREET_RD,349
389,WARRIGAL_RD N of HIGH STREET_RD,435
401,WARRIGAL_RD N of HIGH STREET_RD,350
413,WARRIGAL_RD N of HIGH STREET_RD,423
425,WARRIGAL_RD N of HIGH STREET_RD,357
437,WARRIGAL_RD N of HIGH STREET_RD,327
449,WARRIGAL_RD N of HIGH STREET_RD,364
461,WARRIGAL_RD N of HIGH STREET_RD,301
473,WARRIGAL_RD N of HIGH STREET_RD,293
485,WARRIGAL_RD N of HIGH STREET_RD,307
497,WARRIGAL_RD N of HIGH STREET_RD,295
509,WARRIGAL_RD N of HIGH STREET_RD,313
521,WARRIGAL_RD N of HIGH STREET_RD,317
533,WARRIGAL_RD N of HIGH STREET_RD,277
545,WARRIGAL_RD N of HIGH STREET_RD,272
557,WARRIGAL_RD N of HIGH STREET_RD,334
569,WARRIGAL_RD N of HIGH STREET_RD,285
581,WARRIGAL_RD N of HIGH STREET_RD,281
593,WARRIGAL_RD N of HIGH STREET_RD,308
605,WARRIGAL_RD N of HIGH STREET_RD,298
617,WARRIGAL_RD N of HIGH STREET_RD,268
629,WARRIGAL_RD N of HIGH STREET_RD,276
641,WARRIGAL_RD N of HIGH STREET_RD,308
653,WARRIGAL_RD N of HIGH STREET_RD,319
665,WARRIGAL_RD N of HIGH STREET_RD,253
677,WARRIGAL_RD N of HIGH STREET_RD,293
689,WARRIGAL_RD N of HIGH STREET_RD,245
701,WARRIGAL_RD N of HIGH STREET_RD,289
713,WARRIGAL_RD N of HIGH STREET_RD,274
725,WARRIGAL_RD N of HIGH STREET_RD,305
737,WARRIGAL_RD N of HIGH STREET_RD,286
749,WARRIGAL_RD N of HIGH STREET_RD,326
761,WARRIGAL_RD N of HIGH STREET_RD,327
773,WARRIGAL_RD N of HIGH STREET_RD,375
785,WARRIGAL_RD N of HIGH STREET_RD,320
797,WARRIGAL_RD N of HIGH STREET_RD,355
809,WARRIGAL_RD N of HIGH STREET_RD,328
821,WARRIGAL_RD N of HIGH STREET_RD,380
833,WARRIGAL_RD N of HIGH STREET_RD,346
845,WARRIGAL_RD N of HIGH STREET_RD,351
857,WARRIGAL_RD N of HIGH STREET_RD,438
869,WARRIGAL_RD N of HIGH STREET_RD,334
881,WARRIGAL_RD N of HIGH STREET_RD,344
893,WARRIGAL_RD N of HIGH STREET_RD,303
905,WARRIGAL_RD N of HIGH STREET_RD,253
917,WARRIGAL_RD N of HIGH STREET_RD,249
929,WARRIGAL_RD N of HIGH STREET_RD,303
941,WARRIGAL_RD N of HIGH STREET_RD,227
953,WARRIGAL_RD N of HIGH STREET_RD,229
965,WARRIGAL_RD N of HIGH STREET_RD,186
977,WARRIGAL_RD N of HIGH STREET_RD,166
989,WARRIGAL_RD N of HIGH STREET_RD,160
1001,WARRIGAL_RD N of HIGH STREET_RD,140
1013,WARRIGAL_RD N of HIGH STREET_RD,121
1025,WARRIGAL_RD N of HIGH STREET_RD,131
1037,WARRIGAL_RD N of HIGH STREET_RD,203
1049,WARRIGAL_RD N of HIGH STREET_RD,197
1061,WARRIGAL_RD N of HIGH STREET_RD,132
1073,WARRIGAL_RD N of HIGH STREET_RD,120
1085,WARRIGAL_RD N of HIGH STREET_RD,113
1097,WARRIGAL_RD N of HIGH STREET_RD,86
1109,WARRIGAL_RD N of HIGH STREET_RD,67
1121,WARRIGAL_RD N of HIGH STREET_RD,73
1133,WARRIGAL_RD N of HIGH STREET_RD,37
1145,WARRIGAL_RD N of HIGH STREET_RD,48
6,WARRIGAL_RD N of HIGH STREET_RD,30
18,WARRIGAL_RD N of HIGH STREET_RD,31
30,WARRIGAL_RD N of HIGH STREET_RD,16
42,WARRIGAL_RD N of HIGH STREET_RD,16
54,WARRIGAL_RD N of HIGH STREET_RD,20
66,WARRIGAL_RD N of HIGH STREET_RD,13
78,WARRIGAL_RD N of HIGH STREET_RD,22
90,WARRIGAL_RD N of HIGH STREET_RD,16
102,WARRIGAL_RD N of HIGH STREET_RD,10
114,WARRIGAL_RD N of HIGH STREET_RD,15
126,WARRIGAL_RD N of HIGH STREET_RD,14
138,WARRIGAL_RD N of HIGH STREET_RD,5
150,WARRIGAL_RD N of HIGH STREET_RD,11
162,WARRIGAL_RD N of HIGH STREET_RD,8
174,WARRIGAL_RD N of HIGH STREET_RD,18
186,WARRIGAL_RD N of HIGH STREET_RD,7
198,WARRIGAL_RD N of HIGH STREET_RD,12
210,WARRIGAL_RD N of HIGH STREET_RD,17
222,WARRIGAL_RD N of HIGH STREET_RD,10
234,WARRIGAL_RD N of HIGH STREET_RD,26
246,WARRIGAL_RD N of HIGH STREET_RD,25
258,WARRIGAL_RD N of HIGH STREET_RD,44
270,WARRIGAL_RD N of HIGH STREET_RD,69
282,WARRIGAL_RD N of HIGH STREET_RD,64
294,WARRIGAL_RD N of HIGH STREET_RD,100
306,WARRIGAL_RD N of HIGH STREET_RD,154
318,WARRIGAL_RD N of HIGH STREET_RD,246
330,WARRIGAL_RD N of HIGH STREET_RD,237
342,WARRIGAL_RD N of HIGH STREET_RD,289
354,WARRIGAL_RD N of HIGH STREET_RD,338
366,WARRIGAL_RD N of HIGH STREET_RD,360
378,WARRIGAL_RD N of HIGH STREET_RD,368
390,WARRIGAL_RD N of HIGH STREET_RD,417
402,WARRIGAL_RD N of HIGH STREET_RD,390
414,WARRIGAL_RD N of HIGH STREET_RD,404
426,WARRIGAL_RD N of HIGH STREET_RD,386
438,WARRIGAL_RD N of HIGH STREET_RD,364
450,WARRIGAL_RD N of HIGH STREET_RD,346
462,WARRIGAL_RD N of HIGH STREET_RD,330
474,WARRIGAL_RD N of HIGH STREET_RD,322
486,WARRIGAL_RD N of HIGH STREET_RD,276
498,WARRIGAL_RD N of HIGH STREET_RD,281
510,WARRIGAL_RD N of HIGH STREET_RD,298
522,WARRIGAL_RD N of HIGH STREET_RD,327
534,WARRIGAL_RD N of HIGH STREET_RD,288
546,WARRIGAL_RD N of HIGH STREET_RD,293
558,WARRIGAL_RD N of HIGH STREET_RD,295
570,WARRIGAL_RD N of HIGH STREET_RD,294
582,WARRIGAL_RD N of HIGH STREET_RD,307
594,WARRIGAL_RD N of HIGH STREET_RD,299
606,WARRIGAL_RD N of HIGH STREET_RD,271
618,WARRIGAL_RD N of HIGH STREET_RD,299
630,WARRIGAL_RD N of HIGH STREET_RD,332
642,WARRIGAL_RD N of HIGH STREET_RD,308
654,WARRIGAL_RD N of HIGH STREET_RD,321
666,WARRIGAL_RD N of HIGH STREET_RD,272
678,WARRIGAL_RD N of HIGH STREET_RD,309
690,WARRIGAL_RD N of HIGH STREET_RD,305
702,WARRIGAL_RD N of HIGH STREET_RD,277
714,WARRIGAL_RD N of HIGH STREET_RD,289
726,WARRIGAL_RD N of HIGH STREET_RD,342
738,WARRIGAL_RD N of HIGH STREET_RD,337
750,WARRIGAL_RD N of HIGH STREET_RD,299
762,WARRIGAL_RD N of HIGH STREET_RD,335
774,WARRIGAL_RD N of HIGH STREET_RD,325
786,WARRIGAL_RD N of HIGH STREET_RD,388
798,WARRIGAL_RD N of HIGH STREET_RD,318
810,WARRIGAL_RD N of HIGH STREET_RD,352
822,WARRIGAL_RD N of HIGH STREET_RD,337
834,WARRIGAL_RD N of HIGH STREET_RD,374
846,WARRIGAL_RD N of HIGH STREET_RD,355
858,WARRIGAL_RD N of HIGH STREET_RD,330
870,WARRIGAL_RD N of HIGH STREET_RD,388
882,WARRIGAL_RD N of HIGH STREET_RD,326
894,WARRIGAL_RD N of HIGH STREET_RD,350
906,WARRIGAL_RD N of HIGH STREET_RD,311
918,WARRIGAL_RD N of HIGH STREET_RD,281
930,WARRIGAL_RD N of HIGH STREET_RD,246
942,WARRIGAL_RD N of HIGH STREET_RD,249
954,WARRIGAL_RD N of HIGH STREET_RD,219
966,WARRIGAL_RD N of HIGH STREET_RD,197
978,WARRIGAL_RD N of HIGH STREET_RD,151
990,WARRIGAL_RD N of HIGH STREET_RD,131
1002,WARRIGAL_RD N of HIGH STREET_RD,148
1014,WARRIGAL_RD N of HIGH STREET_RD,135
1026,WARRIGAL_RD N of HIGH STREET_RD,131
1038,WARRIGAL_RD N of HIGH STREET_RD,136
1050,WARRIGAL_RD N of HIGH STREET_RD,135
1062,WARRIGAL_RD N of HIGH STREET_RD,119
1074,WARRIGAL_RD N of HIGH STREET_RD,101
1086,WARRIGAL_RD N of HIGH STREET_RD,131
1098,WARRIGAL_RD N of HIGH STREET_RD,110
1110,WARRIGAL_RD N of HIGH STREET_RD,124
1122,WARRIGAL_RD N of HIGH STREET_RD,93
1134,WARRIGAL_RD N of HIGH STREET_RD,94
1146,WARRIGAL_RD N of HIGH STREET_RD,80
7,WARRIGAL_RD N of HIGH STREET_RD,67
19,WARRIGAL_RD N of HIGH STREET_RD,57
31,WARRIGAL_RD N of HIGH STREET_RD,44
43,WARRIGAL_RD N of HIGH STREET_RD,47
55,WARRIGAL_RD N of HIGH STREET_RD,34
67,WARRIGAL_RD N of HIGH STREET_RD,29
79,WARRIGAL_RD N of HIGH STREET_RD,27
91,WARRIGAL_RD N of HIGH STREET_RD,16
103,WARRIGAL_RD N of HIGH STREET_RD,28
115,WARRIGAL_RD N of HIGH STREET_RD,24
127,WARRIGAL_RD N of HIGH STREET_RD,20
139,WARRIGAL_RD N of HIGH STREET_RD,16
151,WARRIGAL_RD N of HIGH STREET_RD,14
163,WARRIGAL_RD N of HIGH STREET_RD,11
175,WARRIGAL_RD N of HIGH STREET_RD,9
187,WARRIGAL_RD N of HIGH STREET_RD,11
199,WARRIGAL_RD N of HIGH STREET_RD,23
211,WARRIGAL_RD N of HIGH STREET_RD,14
223,WARRIGAL_RD N of HIGH STREET_RD,23
235,WARRIGAL_RD N of HIGH STREET_RD,24
247,WARRIGAL_RD N of HIGH STREET_RD,22
259,WARRIGAL_RD N of HIGH STREET_RD,26
271,WARRIGAL_RD N of HIGH STREET_RD,45
283,WARRIGAL_RD N of HIGH STREET_RD,44
295,WARRIGAL_RD N of HIGH STREET_RD,32
307,WARRIGAL_RD N of HIGH STREET_RD,69
319,WARRIGAL_RD N of HIGH STREET_RD,78
331,WARRIGAL_RD N of HIGH STREET_RD,73
343,WARRIGAL_RD N of HIGH STREET_RD,99
355,WARRIGAL_RD N of HIGH STREET_RD,99
367,WARRIGAL_RD N of HIGH STREET_RD,127
379,WARRIGAL_RD N of HIGH STREET_RD,158
391,WARRIGAL_RD N of HIGH STREET_RD,182
403,WARRIGAL_RD N of HIGH STREET_RD,216
415,WARRIGAL_RD N of HIGH STREET_RD,255
427,WARRIGAL_RD N of HIGH STREET_RD,267
439,WARRIGAL_RD N of HIGH STREET_RD,258
451,WARRIGAL_RD N of HIGH STREET_RD,261
463,WARRIGAL_RD N of HIGH STREET_RD,286
475,WARRIGAL_RD N of HIGH STREET_RD,294
487,WARRIGAL_RD N of HIGH STREET_RD,319
499,WARRIGAL_RD N of HIGH STREET_RD,339
511,WARRIGAL_RD N of HIGH STREET_RD,353
523,WARRIGAL_RD N of HIGH STREET_RD,352
535,WARRIGAL_RD N of HIGH STREET_RD,370
547,WARRIGAL_RD N of HIGH STREET_RD,348
559,WARRIGAL_RD N of HIGH STREET_RD,396
571,WARRIGAL_RD N of HIGH STREET_RD,346
583,WARRIGAL_RD N of HIGH STREET_RD,384
595,WARRIGAL_RD N of HIGH STREET_RD,391
607,WARRIGAL_RD N of HIGH STREET_RD,331
619,WARRIGAL_RD N of HIGH STREET_RD,396
631,WARRIGAL_RD N of HIGH STREET_RD,364
643,WARRIGAL_RD N of HIGH STREET_RD,406
655,WARRIGAL_RD N of HIGH STREET_RD,329
667,WARRIGAL_RD N of HIGH STREET_RD,388
679,WARRIGAL_RD N of HIGH STREET_RD,394
691,WARRIGAL_RD N of HIGH STREET_RD,376
703,WARRIGAL_RD N of HIGH STREET_RD,337
715,WARRIGAL_RD N of HIGH STREET_RD,327
727,WARRIGAL_RD N of HIGH STREET_RD,305
739,WARRIGAL_RD N of HIGH STREET_RD,306
751,WARRIGAL_RD N of HIGH STREET_RD,297
763,WARRIGAL_RD N of HIGH STREET_RD,323
775,WARRIGAL_RD N of HIGH STREET_RD,297
787,WARRIGAL_RD N of HIGH STREET_RD,313
799,WARRIGAL_RD N of HIGH STREET_RD,300
811,WARRIGAL_RD N of HIGH STREET_RD,271
823,WARRIGAL_RD N of HIGH STREET_RD,269
835,WARRIGAL_RD N of HIGH STREET_RD,267
847,WARRIGAL_RD N of HIGH STREET_RD,271
859,WARRIGAL_RD N of HIGH STREET_RD,285
871,WARRIGAL_RD N of HIGH STREET_RD,231
883,WARRIGAL_RD N of HIGH STREET_RD,247
895,WARRIGAL_RD N of HIGH STREET_RD,260
907,WARRIGAL_RD N of HIGH STREET_RD,241
919,WARRIGAL_RD N of HIGH STREET_RD,217
931,WARRIGAL_RD N of HIGH STREET_RD,237
943,WARRIGAL_RD N of HIGH STREET_RD,225
955,WARRIGAL_RD N of HIGH STREET_RD,180
967,WARRIGAL_RD N of HIGH STREET_RD,182
979,WARRIGAL_RD N of HIGH STREET_RD,181
991,WARRIGAL_RD N of HIGH STREET_RD,153
1003,WARRIGAL_RD N of HIGH STREET_RD,139
1015,WARRIGAL_RD N of HIGH STREET_RD,132
1027,WARRIGAL_RD N of HIGH STREET_RD,126
1039,WARRIGAL_RD N of HIGH STREET_RD,124
1051,WARRIGAL_RD N of HIGH STREET_RD,123
1063,WARRIGAL_RD N of HIGH STREET_RD,131
1075,WARRIGAL_RD N of HIGH STREET_RD,110
1087,WARRIGAL_RD N of HIGH STREET_RD,125
1099,WARRIGAL_RD N of HIGH STREET_RD,102
1111,WARRIGAL_RD N of HIGH STREET_RD,131
1123,WARRIGAL_RD N of HIGH STREET_RD,123
1135,WARRIGAL_RD N of HIGH STREET_RD,126
1147,WARRIGAL_RD N of HIGH STREET_RD,98
8,WARRIGAL_RD N of HIGH STREET_RD,94
20,WARRIGAL_RD N of HIGH STREET_RD,103
32,WARRIGAL_RD N of HIGH STREET_RD,102
44,WARRIGAL_RD N of HIGH STREET_RD,82
56,WARRIGAL_RD N of HIGH STREET_RD,47
68,WARRIGAL_RD N of HIGH STREET_RD,53
80,WARRIGAL_RD N of HIGH STREET_RD,36
92,WARRIGAL_RD N of HIGH STREET_RD,0
104,WARRIGAL_RD N of HIGH STREET_RD,0
116,WARRIGAL_RD N of HIGH STREET_RD,0
128,WARRIGAL_RD N of HIGH STREET_RD,0
140,WARRIGAL_RD N of HIGH STREET_RD,34
152,WARRIGAL_RD N of HIGH STREET_RD,32
164,WARRIGAL_RD N of HIGH STREET_RD,38
176,WARRIGAL_RD N of HIGH STREET_RD,35
188,WARRIGAL_RD N of HIGH STREET_RD,25
200,WARRIGAL_RD N of HIGH STREET_RD,28
212,WARRIGAL_RD N of HIGH STREET_RD,24
224,WARRIGAL_RD N of HIGH STREET_RD,31
236,WARRIGAL_RD N of HIGH STREET_RD,17
248,WARRIGAL_RD N of HIGH STREET_RD,30
260,WARRIGAL_RD N of HIGH STREET_RD,32
272,WARRIGAL_RD N of HIGH STREET_RD,16
284,WARRIGAL_RD N of HIGH STREET_RD,20
296,WARRIGAL_RD N of HIGH STREET_RD,31
308,WARRIGAL_RD N of HIGH STREET_RD,46
320,WARRIGAL_RD N of HIGH STREET_RD,49
332,WARRIGAL_RD N of HIGH STREET_RD,53
344,WARRIGAL_RD N of HIGH STREET_RD,49
356,WARRIGAL_RD N of HIGH STREET_RD,57
368,WARRIGAL_RD N of HIGH STREET_RD,74
380,WARRIGAL_RD N of HIGH STREET_RD,75
392,WARRIGAL_RD N of HIGH STREET_RD,81
404,WARRIGAL_RD N of HIGH STREET_RD,79
416,WARRIGAL_RD N of HIGH STREET_RD,87
428,WARRIGAL_RD N of HIGH STREET_RD,119
440,WARRIGAL_RD N of HIGH STREET_RD,119
452,WARRIGAL_RD N of HIGH STREET_RD,149
464,WARRIGAL_RD N of HIGH STREET_RD,178
476,WARRIGAL_RD N of HIGH STREET_RD,236
488,WARRIGAL_RD N of HIGH STREET_RD,194
500,WARRIGAL_RD N of HIGH STREET_RD,203
512,WARRIGAL_RD N of HIGH STREET_RD,232
524,WARRIGAL_RD N of HIGH STREET_RD,272
536,WARRIGAL_RD N of HIGH STREET_RD,287
548,WARRIGAL_RD N of HIGH STREET_RD,282
560,WARRIGAL_RD N of HIGH STREET_RD,316
572,WARRIGAL_RD N of HIGH STREET_RD,280
584,WARRIGAL_RD N of HIGH STREET_RD,308
596,WARRIGAL_RD N of HIGH STREET_RD,314
608,WARRIGAL_RD N of HIGH STREET_RD,354
620,WARRIGAL_RD N of HIGH STREET_RD,340
632,WARRIGAL_RD N of HIGH STREET_RD,303
644,WARRIGAL_RD N of HIGH STREET_RD,345
656,WARRIGAL_RD N of HIGH STREET_RD,321
668,WARRIGAL_RD N of HIGH STREET_RD,316
680,WARRIGAL_RD N of HIGH STREET_RD,297
692,WARRIGAL_RD N of HIGH STREET_RD,331
704,WARRIGAL_RD N of HIGH STREET_RD,354
716,WARRIGAL_RD N of HIGH STREET_RD,330
728,WARRIGAL_RD N of HIGH STREET_RD,323
740,WARRIGAL_RD N of HIGH STREET_RD,330
752,WARRIGAL_RD N of HIGH STREET_RD,348
764,WARRIGAL_RD N of HIGH STREET_RD,318
776,WARRIGAL_RD N of HIGH STREET_RD,298
788,WARRIGAL_RD N of HIGH STREET_RD,346
800,WARRIGAL_RD N of HIGH STREET_RD,301
812,WARRIGAL_RD N of HIGH STREET_RD,266
824,WARRIGAL_RD N of HIGH STREET_RD,257
836,WARRIGAL_RD N of HIGH STREET_RD,250
848,WARRIGAL_RD N of HIGH STREET_RD,267
860,WARRIGAL_RD N of HIGH STREET_RD,233
872,WARRIGAL_RD N of HIGH STREET_RD,252
884,WARRIGAL_RD N of HIGH STREET_RD,267
896,WARRIGAL_RD N of HIGH STREET_RD,214
908,WARRIGAL_RD N of HIGH STREET_RD,205
920,WARRIGAL_RD N of HIGH STREET_RD,195
932,WARRIGAL_RD N of HIGH STREET_RD,154
944,WARRIGAL_RD N of HIGH STREET_RD,147
956,WARRIGAL_RD N of HIGH STREET_RD,155
968,WARRIGAL_RD N of HIGH STREET_RD,143
980,WARRIGAL_RD N of HIGH STREET_RD,120
992,WARRIGAL_RD N of HIGH STREET_RD,132
1004,WARRIGAL_RD N of HIGH STREET_RD,151
1016,WARRIGAL_RD N of HIGH STREET_RD,153
1028,WARRIGAL_RD N of HIGH STREET_RD,132
1040,WARRIGAL_RD N of HIGH STREET_RD,129
1052,WARRIGAL_RD N of HIGH STREET_RD,115
1064,WARRIGAL_RD N of HIGH STREET_RD,97
1076,WARRIGAL_RD N of HIGH STREET_RD,105
1088,WARRIGAL_RD N of HIGH STREET_RD,82
1100,WARRIGAL_RD N of HIGH STREET_RD,66
1112,WARRIGAL_RD N of HIGH STREET_RD,72
1124,WARRIGAL_RD N of HIGH STREET_RD,39
1136,WARRIGAL_RD N of HIGH STREET_RD,52
1148,WARRIGAL_RD N of HIGH STREET_RD,48
9,WARRIGAL_RD N of HIGH STREET_RD,44
21,WARRIGAL_RD N of HIGH STREET_RD,37
33,WARRIGAL_RD N of HIGH STREET_RD,24
45,WARRIGAL_RD N of HIGH STREET_RD,20
57,WARRIGAL_RD N of HIGH STREET_RD,19
69,WARRIGAL_RD N of HIGH STREET_RD,15
81,WARRIGAL_RD N of HIGH STREET_RD,12
93,WARRIGAL_RD N of HIGH STREET_RD,16
105,WARRIGAL_RD N of HIGH STREET_RD,13
117,WARRIGAL_RD N of HIGH STREET_RD,9
129,WARRIGAL_RD N of HIGH STREET_RD,11
141,WARRIGAL_RD N of HIGH STREET_RD,7
153,WARRIGAL_RD N of HIGH STREET_RD,2
165,WARRIGAL_RD N of HIGH STREET_RD,7
177,WARRIGAL_RD N of HIGH STREET_RD,8
189,WARRIGAL_RD N of HIGH STREET_RD,13
201,WARRIGAL_RD N of HIGH STREET_RD,8
213,WARRIGAL_RD N of HIGH STREET_RD,17
225,WARRIGAL_RD N of HIGH STREET_RD,16
237,WARRIGAL_RD N of HIGH STREET_RD,24
249,WARRIGAL_RD N of HIGH STREET_RD,23
261,WARRIGAL_RD N of HIGH STREET_RD,36
273,WARRIGAL_RD N of HIGH STREET_RD,64
285,WARRIGAL_RD N of HIGH STREET_RD,67
297,WARRIGAL_RD N of HIGH STREET_RD,75
309,WARRIGAL_RD N of HIGH STREET_RD,121
321,WARRIGAL_RD N of HIGH STREET_RD,231
333,WARRIGAL_RD N of HIGH STREET_RD,215
345,WARRIGAL_RD N of HIGH STREET_RD,245
357,WARRIGAL_RD N of HIGH STREET_RD,312
369,WARRIGAL_RD N of HIGH STREET_RD,365
381,WARRIGAL_RD N of HIGH STREET_RD,366
393,WARRIGAL_RD N of HIGH STREET_RD,375
405,WARRIGAL_RD N of HIGH STREET_RD,375
417,WARRIGAL_RD N of HIGH STREET_RD,385
429,WARRIGAL_RD N of HIGH STREET_RD,375
441,WARRIGAL_RD N of HIGH STREET_RD,397
453,WARRIGAL_RD N of HIGH STREET_RD,323
465,WARRIGAL_RD N of HIGH STREET_RD,270
477,WARRIGAL_RD N of HIGH STREET_RD,297
489,WARRIGAL_RD N of HIGH STREET_RD,272
501,WARRIGAL_RD N of HIGH STREET_RD,273
513,WARRIGAL_RD N of HIGH STREET_RD,271
525,WARRIGAL_RD N of HIGH STREET_RD,234
537,WARRIGAL_RD N of HIGH STREET_RD,271
549,WARRIGAL_RD N of HIGH STREET_RD,275
561,WARRIGAL_RD N of HIGH STREET_RD,274
573,WARRIGAL_RD N of HIGH STREET_RD,254
585,WARRIGAL_RD N of HIGH STREET_RD,262
597,WARRIGAL_RD N of HIGH STREET_RD,281
609,WARRIGAL_RD N of HIGH STREET_RD,282
621,WARRIGAL_RD N of HIGH STREET_RD,261
633,WARRIGAL_RD N of HIGH STREET_RD,251
645,WARRIGAL_RD N of HIGH STREET_RD,241
657,WARRIGAL_RD N of HIGH STREET_RD,310
669,WARRIGAL_RD N of HIGH STREET_RD,280
681,WARRIGAL_RD N of HIGH STREET_RD,319
693,WARRIGAL_RD N of HIGH STREET_RD,261
705,WARRIGAL_RD N of HIGH STREET_RD,234
717,WARRIGAL_RD N of HIGH STREET_RD,220
729,WARRIGAL_RD N of HIGH STREET_RD,270
741,WARRIGAL_RD N of HIGH STREET_RD,289
753,WARRIGAL_RD N of HIGH STREET_RD,313
765,WARRIGAL_RD N of HIGH STREET_RD,319
777,WARRIGAL_RD N of HIGH STREET_RD,317
789,WARRIGAL_RD N of HIGH STREET_RD,333
801,WARRIGAL_RD N of HIGH STREET_RD,303
813,WARRIGAL_RD N of HIGH STREET_RD,302
825,WARRIGAL_RD N of HIGH STREET_RD,331
