,Location,value
537,WARRIGAL_RD N of HIGH STREET_RD,275
556,WARRIGAL_RD N of HIGH STREET_RD,283
575,WARRIGAL_RD N of HIGH STREET_RD,382
594,WARRIGAL_RD N of HIGH STREET_RD,344
613,WARRIGAL_RD N of HIGH STREET_RD,392
632,WARRIGAL_RD N of HIGH STREET_RD,395
651,WARRIGAL_RD N of HIGH STREET_RD,351
670,WARRIGAL_RD N of HIGH STREET_RD,394
689,WARRIGAL_RD N of HIGH STREET_RD,358
708,WARRIGAL_RD N of HIGH STREET_RD,337
727,WARRIGAL_RD N of HIGH STREET_RD,348
746,WARRIGAL_RD N of HIGH STREET_RD,331
765,WARRIGAL_RD N of HIGH STREET_RD,299
784,WARRIGAL_RD N of HIGH STREET_RD,310
803,WARRIGAL_RD N of HIGH STREET_RD,332
822,WARRIGAL_RD N of HIGH STREET_RD,317
841,WARRIGAL_RD N of HIGH STREET_RD,328
860,WARRIGAL_RD N of HIGH STREET_RD,294
879,WARRIGAL_RD N of HIGH STREET_RD,318
898,WARRIGAL_RD N of HIGH STREET_RD,332
917,WARRIGAL_RD N of HIGH STREET_RD,311
936,WARRIGAL_RD N of HIGH STREET_RD,337
955,WARRIGAL_RD N of HIGH STREET_RD,319
974,WARRIGAL_RD N of HIGH STREET_RD,271
993,WARRIGAL_RD N of HIGH STREET_RD,288
1012,WARRIGAL_RD N of HIGH STREET_RD,346
1031,WARRIGAL_RD N of HIGH STREET_RD,289
1050,WARRIGAL_RD N of HIGH STREET_RD,330
1069,WARRIGAL_RD N of HIGH STREET_RD,303
1088,WARRIGAL_RD N of HIGH STREET_RD,324
1107,WARRIGAL_RD N of HIGH STREET_RD,307
1126,WARRIGAL_RD N of HIGH STREET_RD,322
1145,WARRIGAL_RD N of HIGH STREET_RD,331
1164,WARRIGAL_RD N of HIGH STREET_RD,353
1183,WARRIGAL_RD N of HIGH STREET_RD,345
1202,WARRIGAL_RD N of HIGH STREET_RD,342
1221,WARRIGAL_RD N of HIGH STREET_RD,337
1240,WARRIGAL_RD N of HIGH STREET_RD,361
1259,WARRIGAL_RD N of HIGH STREET_RD,319
1278,WARRIGAL_RD N of HIGH STREET_RD,319
1297,WARRIGAL_RD N of HIGH STREET_RD,350
1316,WARRIGAL_RD N of HIGH STREET_RD,376
1335,WARRIGAL_RD N of HIGH STREET_RD,392
1354,WARRIGAL_RD N of HIGH STREET_RD,339
1373,WARRIGAL_RD N of HIGH STREET_RD,357
1392,WARRIGAL_RD N of HIGH STREET_RD,348
1411,WARRIGAL_RD N of HIGH STREET_RD,324
1430,WARRIGAL_RD N of HIGH STREET_RD,327
1449,WARRIGAL_RD N of HIGH STREET_RD,279
1468,WARRIGAL_RD N of HIGH STREET_RD,267
1487,WARRIGAL_RD N of HIGH STREET_RD,281
1506,WARRIGAL_RD N of HIGH STREET_RD,214
1525,WARRIGAL_RD N of HIGH STREET_RD,172
1544,WARRIGAL_RD N of HIGH STREET_RD,152
1563,WARRIGAL_RD N of HIGH STREET_RD,157
1582,WARRIGAL_RD N of HIGH STREET_RD,154
1601,WARRIGAL_RD N of HIGH STREET_RD,137
1620,WARRIGAL_RD N of HIGH STREET_RD,152
1639,WARRIGAL_RD N of HIGH STREET_RD,141
1658,WARRIGAL_RD N of HIGH STREET_RD,137
1677,WARRIGAL_RD N of HIGH STREET_RD,135
1696,WARRIGAL_RD N of HIGH STREET_RD,136
1715,WARRIGAL_RD N of HIGH STREET_RD,108
1734,WARRIGAL_RD N of HIGH STREET_RD,120
1753,WARRIGAL_RD N of HIGH STREET_RD,115
1772,WARRIGAL_RD N of HIGH STREET_RD,102
1791,WARRIGAL_RD N of HIGH STREET_RD,74
1810,WARRIGAL_RD N of HIGH STREET_RD,78
6,WARRIGAL_RD N of HIGH STREET_RD,62
25,WARRIGAL_RD N of HIGH STREET_RD,66
44,WARRIGAL_RD N of HIGH STREET_RD,57
63,WARRIGAL_RD N of HIGH STREET_RD,45
82,WARRIGAL_RD N of HIGH STREET_RD,45
101,WARRIGAL_RD N of HIGH STREET_RD,27
120,WARRIGAL_RD N of HIGH STREET_RD,36
139,WARRIGAL_RD N of HIGH STREET_RD,29
158,WARRIGAL_RD N of HIGH STREET_RD,29
177,WARRIGAL_RD N of HIGH STREET_RD,22
196,WARRIGAL_RD N of HIGH STREET_RD,19
215,WARRIGAL_RD N of HIGH STREET_RD,19
234,WARRIGAL_RD N of HIGH STREET_RD,15
253,WARRIGAL_RD N of HIGH STREET_RD,31
272,WARRIGAL_RD N of HIGH STREET_RD,17
291,WARRIGAL_RD N of HIGH STREET_RD,25
310,WARRIGAL_RD N of HIGH STREET_RD,17
329,WARRIGAL_RD N of HIGH STREET_RD,26
348,WARRIGAL_RD N of HIGH STREET_RD,21
367,WARRIGAL_RD N of HIGH STREET_RD,23
386,WARRIGAL_RD N of HIGH STREET_RD,19
405,WARRIGAL_RD N of HIGH STREET_RD,31
424,WARRIGAL_RD N of HIGH STREET_RD,38
443,WARRIGAL_RD N of HIGH STREET_RD,43
462,WARRIGAL_RD N of HIGH STREET_RD,49
481,WARRIGAL_RD N of HIGH STREET_RD,86
500,WARRIGAL_RD N of HIGH STREET_RD,108
519,WARRIGAL_RD N of HIGH STREET_RD,107
538,WARRIGAL_RD N of HIGH STREET_RD,93
557,WARRIGAL_RD N of HIGH STREET_RD,120
576,WARRIGAL_RD N of HIGH STREET_RD,139
595,WARRIGAL_RD N of HIGH STREET_RD,199
614,WARRIGAL_RD N of HIGH STREET_RD,174
633,WARRIGAL_RD N of HIGH STREET_RD,206
652,WARRIGAL_RD N of HIGH STREET_RD,261
671,WARRIGAL_RD N of HIGH STREET_RD,296
690,WARRIGAL_RD N of HIGH STREET_RD,292
709,WARRIGAL_RD N of HIGH STREET_RD,283
728,WARRIGAL_RD N of HIGH STREET_RD,307
747,WARRIGAL_RD N of HIGH STREET_RD,320
766,WARRIGAL_RD N of HIGH STREET_RD,273
785,WARRIGAL_RD N of HIGH STREET_RD,340
804,WARRIGAL_RD N of HIGH STREET_RD,365
823,WARRIGAL_RD N of HIGH STREET_RD,333
842,WARRIGAL_RD N of HIGH STREET_RD,350
861,WARRIGAL_RD N of HIGH STREET_RD,366
880,WARRIGAL_RD N of HIGH STREET_RD,377
899,WARRIGAL_RD N of HIGH STREET_RD,367
918,WARRIGAL_RD N of HIGH STREET_RD,371
937,WARRIGAL_RD N of HIGH STREET_RD,373
956,WARRIGAL_RD N of HIGH STREET_RD,398
975,WARRIGAL_RD N of HIGH STREET_RD,344
994,WARRIGAL_RD N of HIGH STREET_RD,371
1013,WARRIGAL_RD N of HIGH STREET_RD,300
1032,WARRIGAL_RD N of HIGH STREET_RD,368
1051,WARRIGAL_RD N of HIGH STREET_RD,378
1070,WARRIGAL_RD N of HIGH STREET_RD,322
1089,WARRIGAL_RD N of HIGH STREET_RD,346
1108,WARRIGAL_RD N of HIGH STREET_RD,302
1127,WARRIGAL_RD N of HIGH STREET_RD,260
1146,WARRIGAL_RD N of HIGH STREET_RD,262
1165,WARRIGAL_RD N of HIGH STREET_RD,283
1184,WARRIGAL_RD N of HIGH STREET_RD,312
1203,WARRIGAL_RD N of HIGH STREET_RD,264
1222,WARRIGAL_RD N of HIGH STREET_RD,285
1241,WARRIGAL_RD N of HIGH STREET_RD,292
1260,WARRIGAL_RD N of HIGH STREET_RD,273
1279,WARRIGAL_RD N of HIGH STREET_RD,239
1298,WARRIGAL_RD N of HIGH STREET_RD,229
1317,WARRIGAL_RD N of HIGH STREET_RD,286
1336,WARRIGAL_RD N of HIGH STREET_RD,268
1355,WARRIGAL_RD N of HIGH STREET_RD,331
1374,WARRIGAL_RD N of HIGH STREET_RD,287
1393,WARRIGAL_RD N of HIGH STREET_RD,262
1412,WARRIGAL_RD N of HIGH STREET_RD,283
1431,WARRIGAL_RD N of HIGH STREET_RD,244
1450,WARRIGAL_RD N of HIGH STREET_RD,219
1469,WARRIGAL_RD N of HIGH STREET_RD,222
1488,WARRIGAL_RD N of HIGH STREET_RD,206
1507,WARRIGAL_RD N of HIGH STREET_RD,179
1526,WARRIGAL_RD N of HIGH STREET_RD,156
1545,WARRIGAL_RD N of HIGH STREET_RD,157
1564,WARRIGAL_RD N of HIGH STREET_RD,137
1583,WARRIGAL_RD N of HIGH STREET_RD,125
1602,WARRIGAL_RD N of HIGH STREET_RD,126
1621,WARRIGAL_RD N of HIGH STREET_RD,139
1640,WARRIGAL_RD N of HIGH STREET_RD,119
1659,WARRIGAL_RD N of HIGH STREET_RD,153
1678,WARRIGAL_RD N of HIGH STREET_RD,133
1697,WARRIGAL_RD N of HIGH STREET_RD,109
1716,WARRIGAL_RD N of HIGH STREET_RD,140
1735,WARRIGAL_RD N of HIGH STREET_RD,121
1754,WARRIGAL_RD N of HIGH STREET_RD,123
1773,WARRIGAL_RD N of HIGH STREET_RD,115
1792,WARRIGAL_RD N of HIGH STREET_RD,107
1811,WARRIGAL_RD N of HIGH STREET_RD,127
7,WARRIGAL_RD N of HIGH STREET_RD,116
26,WARRIGAL_RD N of HIGH STREET_RD,86
45,WARRIGAL_RD N of HIGH STREET_RD,81
64,WARRIGAL_RD N of HIGH STREET_RD,65
83,WARRIGAL_RD N of HIGH STREET_RD,65
102,WARRIGAL_RD N of HIGH STREET_RD,51
121,WARRIGAL_RD N of HIGH STREET_RD,38
140,WARRIGAL_RD N of HIGH STREET_RD,36
159,WARRIGAL_RD N of HIGH STREET_RD,37
178,WARRIGAL_RD N of HIGH STREET_RD,18
197,WARRIGAL_RD N of HIGH STREET_RD,27
216,WARRIGAL_RD N of HIGH STREET_RD,18
235,WARRIGAL_RD N of HIGH STREET_RD,15
254,WARRIGAL_RD N of HIGH STREET_RD,15
273,WARRIGAL_RD N of HIGH STREET_RD,13
292,WARRIGAL_RD N of HIGH STREET_RD,20
311,WARRIGAL_RD N of HIGH STREET_RD,14
330,WARRIGAL_RD N of HIGH STREET_RD,17
349,WARRIGAL_RD N of HIGH STREET_RD,13
368,WARRIGAL_RD N of HIGH STREET_RD,14
387,WARRIGAL_RD N of HIGH STREET_RD,15
406,WARRIGAL_RD N of HIGH STREET_RD,19
425,WARRIGAL_RD N of HIGH STREET_RD,20
444,WARRIGAL_RD N of HIGH STREET_RD,25
463,WARRIGAL_RD N of HIGH STREET_RD,38
482,WARRIGAL_RD N of HIGH STREET_RD,47
501,WARRIGAL_RD N of HIGH STREET_RD,87
520,WARRIGAL_RD N of HIGH STREET_RD,101
539,WARRIGAL_RD N of HIGH STREET_RD,81
558,WARRIGAL_RD N of HIGH STREET_RD,87
577,WARRIGAL_RD N of HIGH STREET_RD,87
596,WARRIGAL_RD N of HIGH STREET_RD,93
615,WARRIGAL_RD N of HIGH STREET_RD,93
634,WARRIGAL_RD N of HIGH STREET_RD,123
653,WARRIGAL_RD N of HIGH STREET_RD,121
672,WARRIGAL_RD N of HIGH STREET_RD,146
691,WARRIGAL_RD N of HIGH STREET_RD,162
710,WARRIGAL_RD N of HIGH STREET_RD,198
729,WARRIGAL_RD N of HIGH STREET_RD,262
748,WARRIGAL_RD N of HIGH STREET_RD,250
767,WARRIGAL_RD N of HIGH STREET_RD,237
786,WARRIGAL_RD N of HIGH STREET_RD,255
805,WARRIGAL_RD N of HIGH STREET_RD,264
824,WARRIGAL_RD N of HIGH STREET_RD,300
843,WARRIGAL_RD N of HIGH STREET_RD,294
862,WARRIGAL_RD N of HIGH STREET_RD,328
881,WARRIGAL_RD N of HIGH STREET_RD,296
900,WARRIGAL_RD N of HIGH STREET_RD,361
919,WARRIGAL_RD N of HIGH STREET_RD,317
938,WARRIGAL_RD N of HIGH STREET_RD,376
957,WARRIGAL_RD N of HIGH STREET_RD,346
976,WARRIGAL_RD N of HIGH STREET_RD,338
995,WARRIGAL_RD N of HIGH STREET_RD,280
1014,WARRIGAL_RD N of HIGH STREET_RD,347
1033,WARRIGAL_RD N of HIGH STREET_RD,295
1052,WARRIGAL_RD N of HIGH STREET_RD,321
1071,WARRIGAL_RD N of HIGH STREET_RD,302
1090,WARRIGAL_RD N of HIGH STREET_RD,293
1109,WARRIGAL_RD N of HIGH STREET_RD,276
1128,WARRIGAL_RD N of HIGH STREET_RD,270
1147,WARRIGAL_RD N of HIGH STREET_RD,297
1166,WARRIGAL_RD N of HIGH STREET_RD,297
1185,WARRIGAL_RD N of HIGH STREET_RD,254
1204,WARRIGAL_RD N of HIGH STREET_RD,306
1223,WARRIGAL_RD N of HIGH STREET_RD,246
1242,WARRIGAL_RD N of HIGH STREET_RD,263
1261,WARRIGAL_RD N of HIGH STREET_RD,275
1280,WARRIGAL_RD N of HIGH STREET_RD,246
1299,WARRIGAL_RD N of HIGH STREET_RD,289
1318,WARRIGAL_RD N of HIGH STREET_RD,243
1337,WARRIGAL_RD N of HIGH STREET_RD,279
1356,WARRIGAL_RD N of HIGH STREET_RD,235
1375,WARRIGAL_RD N of HIGH STREET_RD,199
1394,WARRIGAL_RD N of HIGH STREET_RD,232
1413,WARRIGAL_RD N of HIGH STREET_RD,173
1432,WARRIGAL_RD N of HIGH STREET_RD,159
1451,WARRIGAL_RD N of HIGH STREET_RD,172
1470,WARRIGAL_RD N of HIGH STREET_RD,142
1489,WARRIGAL_RD N of HIGH STREET_RD,163
1508,WARRIGAL_RD N of HIGH STREET_RD,139
1527,WARRIGAL_RD N of HIGH STREET_RD,128
1546,WARRIGAL_RD N of HIGH STREET_RD,111
1565,WARRIGAL_RD N of HIGH STREET_RD,119
1584,WARRIGAL_RD N of HIGH STREET_RD,132
1603,WARRIGAL_RD N of HIGH STREET_RD,109
1622,WARRIGAL_RD N of HIGH STREET_RD,116
1641,WARRIGAL_RD N of HIGH STREET_RD,112
1660,WARRIGAL_RD N of HIGH STREET_RD,92
1679,WARRIGAL_RD N of HIGH STREET_RD,96
1698,WARRIGAL_RD N of HIGH STREET_RD,82
1717,WARRIGAL_RD N of HIGH STREET_RD,80
1736,WARRIGAL_RD N of HIGH STREET_RD,64
1755,WARRIGAL_RD N of HIGH STREET_RD,64
1774,WARRIGAL_RD N of HIGH STREET_RD,48
1793,WARRIGAL_RD N of HIGH STREET_RD,48
1812,WARRIGAL_RD N of HIGH STREET_RD,43
8,WARRIGAL_RD N of HIGH STREET_RD,23
27,WARRIGAL_RD N of HIGH STREET_RD,28
46,WARRIGAL_RD N of HIGH STREET_RD,15
65,WARRIGAL_RD N of HIGH STREET_RD,20
84,WARRIGAL_RD N of HIGH STREET_RD,11
103,WARRIGAL_RD N of HIGH STREET_RD,14
122,WARRIGAL_RD N of HIGH STREET_RD,13
141,WARRIGAL_RD N of HIGH STREET_RD,13
160,WARRIGAL_RD N of HIGH STREET_RD,7
179,WARRIGAL_RD N of HIGH STREET_RD,7
198,WARRIGAL_RD N of HIGH STREET_RD,7
217,WARRIGAL_RD N of HIGH STREET_RD,9
236,WARRIGAL_RD N of HIGH STREET_RD,3
255,WARRIGAL_RD N of HIGH STREET_RD,1
274,WARRIGAL_RD N of HIGH STREET_RD,7
293,WARRIGAL_RD N of HIGH STREET_RD,7
312,WARRIGAL_RD N of HIGH STREET_RD,10
331,WARRIGAL_RD N of HIGH STREET_RD,8
350,WARRIGAL_RD N of HIGH STREET_RD,20
369,WARRIGAL_RD N of HIGH STREET_RD,12
388,WARRIGAL_RD N of HIGH STREET_RD,27
407,WARRIGAL_RD N of HIGH STREET_RD,33
426,WARRIGAL_RD N of HIGH STREET_RD,54
445,WARRIGAL_RD N of HIGH STREET_RD,63
464,WARRIGAL_RD N of HIGH STREET_RD,77
483,WARRIGAL_RD N of HIGH STREET_RD,141
502,WARRIGAL_RD N of HIGH STREET_RD,246
521,WARRIGAL_RD N of HIGH STREET_RD,233
540,WARRIGAL_RD N of HIGH STREET_RD,252
559,WARRIGAL_RD N of HIGH STREET_RD,351
578,WARRIGAL_RD N of HIGH STREET_RD,356
597,WARRIGAL_RD N of HIGH STREET_RD,371
616,WARRIGAL_RD N of HIGH STREET_RD,369
635,WARRIGAL_RD N of HIGH STREET_RD,427
654,WARRIGAL_RD N of HIGH STREET_RD,389
673,WARRIGAL_RD N of HIGH STREET_RD,368
692,WARRIGAL_RD N of HIGH STREET_RD,377
711,WARRIGAL_RD N of HIGH STREET_RD,348
730,WARRIGAL_RD N of HIGH STREET_RD,286
749,WARRIGAL_RD N of HIGH STREET_RD,284
768,WARRIGAL_RD N of HIGH STREET_RD,285
787,WARRIGAL_RD N of HIGH STREET_RD,260
806,WARRIGAL_RD N of HIGH STREET_RD,279
825,WARRIGAL_RD N of HIGH STREET_RD,256
844,WARRIGAL_RD N of HIGH STREET_RD,288
863,WARRIGAL_RD N of HIGH STREET_RD,253
882,WARRIGAL_RD N of HIGH STREET_RD,284
901,WARRIGAL_RD N of HIGH STREET_RD,274
920,WARRIGAL_RD N of HIGH STREET_RD,268
939,WARRIGAL_RD N of HIGH STREET_RD,267
958,WARRIGAL_RD N of HIGH STREET_RD,282
977,WARRIGAL_RD N of HIGH STREET_RD,282
996,WARRIGAL_RD N of HIGH STREET_RD,249
1015,WARRIGAL_RD N of HIGH STREET_RD,264
1034,WARRIGAL_RD N of HIGH STREET_RD,340
1053,WARRIGAL_RD N of HIGH STREET_RD,242
1072,WARRIGAL_RD N of HIGH STREET_RD,261
1091,WARRIGAL_RD N of HIGH STREET_RD,284
1110,WARRIGAL_RD N of HIGH STREET_RD,278
1129,WARRIGAL_RD N of HIGH STREET_RD,275
1148,WARRIGAL_RD N of HIGH STREET_RD,283
1167,WARRIGAL_RD N of HIGH STREET_RD,320
1186,WARRIGAL_RD N of HIGH STREET_RD,289
1205,WARRIGAL_RD N of HIGH STREET_RD,285
1224,WARRIGAL_RD N of HIGH STREET_RD,332
1243,WARRIGAL_RD N of HIGH STREET_RD,355
1262,WARRIGAL_RD N of HIGH STREET_RD,313
1281,WARRIGAL_RD N of HIGH STREET_RD,301
1300,WARRIGAL_RD N of HIGH STREET_RD,304
1319,WARRIGAL_RD N of HIGH STREET_RD,382
1338,WARRIGAL_RD N of HIGH STREET_RD,339
1357,WARRIGAL_RD N of HIGH STREET_RD,347
1376,WARRIGAL_RD N of HIGH STREET_RD,308
1395,WARRIGAL_RD N of HIGH STREET_RD,309
1414,WARRIGAL_RD N of HIGH STREET_RD,240
1433,WARRIGAL_RD N of HIGH STREET_RD,207
1452,WARRIGAL_RD N of HIGH STREET_RD,179
1471,WARRIGAL_RD N of HIGH STREET_RD,201
1490,WARRIGAL_RD N of HIGH STREET_RD,142
1509,WARRIGAL_RD N of HIGH STREET_RD,160
1528,WARRIGAL_RD N of HIGH STREET_RD,127
1547,WARRIGAL_RD N of HIGH STREET_RD,124
1566,WARRIGAL_RD N of HIGH STREET_RD,127
1585,WARRIGAL_RD N of HIGH STREET_RD,131
1604,WARRIGAL_RD N of HIGH STREET_RD,125
1623,WARRIGAL_RD N of HIGH STREET_RD,113
1642,WARRIGAL_RD N of HIGH STREET_RD,97
1661,WARRIGAL_RD N of HIGH STREET_RD,107
1680,WARRIGAL_RD N of HIGH STREET_RD,111
1699,WARRIGAL_RD N of HIGH STREET_RD,98
1718,WARRIGAL_RD N of HIGH STREET_RD,83
1737,WARRIGAL_RD N of HIGH STREET_RD,69
1756,WARRIGAL_RD N of HIGH STREET_RD,57
1775,WARRIGAL_RD N of HIGH STREET_RD,50
1794,WARRIGAL_RD N of HIGH STREET_RD,25
1813,WARRIGAL_RD N of HIGH STREET_RD,36
9,WARRIGAL_RD N of HIGH STREET_RD,27
28,WARRIGAL_RD N of HIGH STREET_RD,27
47,WARRIGAL_RD N of HIGH STREET_RD,16
66,WARRIGAL_RD N of HIGH STREET_RD,20
85,WARRIGAL_RD N of HIGH STREET_RD,13
104,WARRIGAL_RD N of HIGH STREET_RD,13
123,WARRIGAL_RD N of HIGH STREET_RD,11
142,WARRIGAL_RD N of HIGH STREET_RD,10
161,WARRIGAL_RD N of HIGH STREET_RD,7
180,WARRIGAL_RD N of HIGH STREET_RD,8
199,WARRIGAL_RD N of HIGH STREET_RD,5
218,WARRIGAL_RD N of HIGH STREET_RD,3
237,WARRIGAL_RD N of HIGH STREET_RD,7
256,WARRIGAL_RD N of HIGH STREET_RD,3
275,WARRIGAL_RD N of HIGH STREET_RD,6
294,WARRIGAL_RD N of HIGH STREET_RD,10
313,WARRIGAL_RD N of HIGH STREET_RD,11
332,WARRIGAL_RD N of HIGH STREET_RD,11
351,WARRIGAL_RD N of HIGH STREET_RD,15
370,WARRIGAL_RD N of HIGH STREET_RD,12
389,WARRIGAL_RD N of HIGH STREET_RD,22
408,WARRIGAL_RD N of HIGH STREET_RD,38
427,WARRIGAL_RD N of HIGH STREET_RD,64
446,WARRIGAL_RD N of HIGH STREET_RD,60
465,WARRIGAL_RD N of HIGH STREET_RD,96
484,WARRIGAL_RD N of HIGH STREET_RD,160
503,WARRIGAL_RD N of HIGH STREET_RD,252
522,WARRIGAL_RD N of HIGH STREET_RD,249
541,WARRIGAL_RD N of HIGH STREET_RD,283
560,WARRIGAL_RD N of HIGH STREET_RD,354
579,WARRIGAL_RD N of HIGH STREET_RD,362
598,WARRIGAL_RD N of HIGH STREET_RD,391
617,WARRIGAL_RD N of HIGH STREET_RD,372
636,WARRIGAL_RD N of HIGH STREET_RD,417
655,WARRIGAL_RD N of HIGH STREET_RD,381
674,WARRIGAL_RD N of HIGH STREET_RD,396
693,WARRIGAL_RD N of HIGH STREET_RD,399
712,WARRIGAL_RD N of HIGH STREET_RD,353
731,WARRIGAL_RD N of HIGH STREET_RD,315
750,WARRIGAL_RD N of HIGH STREET_RD,324
769,WARRIGAL_RD N of HIGH STREET_RD,324
788,WARRIGAL_RD N of HIGH STREET_RD,289
807,WARRIGAL_RD N of HIGH STREET_RD,282
826,WARRIGAL_RD N of HIGH STREET_RD,304
845,WARRIGAL_RD N of HIGH STREET_RD,296
864,WARRIGAL_RD N of HIGH STREET_RD,305
883,WARRIGAL_RD N of HIGH STREET_RD,278
902,WARRIGAL_RD N of HIGH STREET_RD,287
921,WARRIGAL_RD N of HIGH STREET_RD,301
940,WARRIGAL_RD N of HIGH STREET_RD,275
959,WARRIGAL_RD N of HIGH STREET_RD,303
978,WARRIGAL_RD N of HIGH STREET_RD,311
997,WARRIGAL_RD N of HIGH STREET_RD,265
1016,WARRIGAL_RD N of HIGH STREET_RD,294
1035,WARRIGAL_RD N of HIGH STREET_RD,258
1054,WARRIGAL_RD N of HIGH STREET_RD,277
1073,WARRIGAL_RD N of HIGH STREET_RD,308
1092,WARRIGAL_RD N of HIGH STREET_RD,273
1111,WARRIGAL_RD N of HIGH STREET_RD,301
1130,WARRIGAL_RD N of HIGH STREET_RD,305
1149,WARRIGAL_RD N of HIGH STREET_RD,318
1168,WARRIGAL_RD N of HIGH STREET_RD,342
1187,WARRIGAL_RD N of HIGH STREET_RD,347
1206,WARRIGAL_RD N of HIGH STREET_RD,302
1225,WARRIGAL_RD N of HIGH STREET_RD,344
1244,WARRIGAL_RD N of HIGH STREET_RD,359
1263,WARRIGAL_RD N of HIGH STREET_RD,325
1282,WARRIGAL_RD N of HIGH STREET_RD,271
1301,WARRIGAL_RD N of HIGH STREET_RD,339
1320,WARRIGAL_RD N of HIGH STREET_RD,342
1339,WARRIGAL_RD N of HIGH STREET_RD,363
1358,WARRIGAL_RD N of HIGH STREET_RD,353
1377,WARRIGAL_RD N of HIGH STREET_RD,323
1396,WARRIGAL_RD N of HIGH STREET_RD,304
1415,WARRIGAL_RD N of HIGH STREET_RD,261
1434,WARRIGAL_RD N of HIGH STREET_RD,207
1453,WARRIGAL_RD N of HIGH STREET_RD,219
1472,WARRIGAL_RD N of HIGH STREET_RD,181
1491,WARRIGAL_RD N of HIGH STREET_RD,206
1510,WARRIGAL_RD N of HIGH STREET_RD,188
1529,WARRIGAL_RD N of HIGH STREET_RD,158
1548,WARRIGAL_RD N of HIGH STREET_RD,159
1567,WARRIGAL_RD N of HIGH STREET_RD,136
1586,WARRIGAL_RD N of HIGH STREET_RD,133
1605,WARRIGAL_RD N of HIGH STREET_RD,164
1624,WARRIGAL_RD N of HIGH STREET_RD,147
1643,WARRIGAL_RD N of HIGH STREET_RD,150
1662,WARRIGAL_RD N of HIGH STREET_RD,131
1681,WARRIGAL_RD N of HIGH STREET_RD,124
1700,WARRIGAL_RD N of HIGH STREET_RD,111
1719,WARRIGAL_RD N of HIGH STREET_RD,112
1738,WARRIGAL_RD N of HIGH STREET_RD,103
1757,WARRIGAL_RD N of HIGH STREET_RD,66
1776,WARRIGAL_RD N of HIGH STREET_RD,50
1795,WARRIGAL_RD N of HIGH STREET_RD,49
1814,WARRIGAL_RD N of HIGH STREET_RD,36
10,WARRIGAL_RD N of HIGH STREET_RD,38
29,WARRIGAL_RD N of HIGH STREET_RD,35
48,WARRIGAL_RD N of HIGH STREET_RD,15
67,WARRIGAL_RD N of HIGH STREET_RD,20
86,WARRIGAL_RD N of HIGH STREET_RD,14
105,WARRIGAL_RD N of HIGH STREET_RD,14
124,WARRIGAL_RD N of HIGH STREET_RD,6
143,WARRIGAL_RD N of HIGH STREET_RD,6
162,WARRIGAL_RD N of HIGH STREET_RD,17
181,WARRIGAL_RD N of HIGH STREET_RD,15
200,WARRIGAL_RD N of HIGH STREET_RD,11
219,WARRIGAL_RD N of HIGH STREET_RD,5
238,WARRIGAL_RD N of HIGH STREET_RD,7
257,WARRIGAL_RD N of HIGH STREET_RD,7
276,WARRIGAL_RD N of HIGH STREET_RD,10
295,WARRIGAL_RD N of HIGH STREET_RD,12
314,WARRIGAL_RD N of HIGH STREET_RD,8
333,WARRIGAL_RD N of HIGH STREET_RD,9
352,WARRIGAL_RD N of HIGH STREET_RD,15
371,WARRIGAL_RD N of HIGH STREET_RD,16
390,WARRIGAL_RD N of HIGH STREET_RD,18
409,WARRIGAL_RD N of HIGH STREET_RD,43
428,WARRIGAL_RD N of HIGH STREET_RD,66
447,WARRIGAL_RD N of HIGH STREET_RD,71
466,WARRIGAL_RD N of HIGH STREET_RD,89
485,WARRIGAL_RD N of HIGH STREET_RD,151
504,WARRIGAL_RD N of HIGH STREET_RD,242
523,WARRIGAL_RD N of HIGH STREET_RD,257
542,WARRIGAL_RD N of HIGH STREET_RD,281
561,WARRIGAL_RD N of HIGH STREET_RD,329
580,WARRIGAL_RD N of HIGH STREET_RD,350
599,WARRIGAL_RD N of HIGH STREET_RD,384
618,WARRIGAL_RD N of HIGH STREET_RD,363
637,WARRIGAL_RD N of HIGH STREET_RD,360
656,WARRIGAL_RD N of HIGH STREET_RD,425
675,WARRIGAL_RD N of HIGH STREET_RD,416
694,WARRIGAL_RD N of HIGH STREET_RD,338
713,WARRIGAL_RD N of HIGH STREET_RD,339
732,WARRIGAL_RD N of HIGH STREET_RD,330
751,WARRIGAL_RD N of HIGH STREET_RD,334
770,WARRIGAL_RD N of HIGH STREET_RD,327
789,WARRIGAL_RD N of HIGH STREET_RD,290
808,WARRIGAL_RD N of HIGH STREET_RD,312
827,WARRIGAL_RD N of HIGH STREET_RD,275
846,WARRIGAL_RD N of HIGH STREET_RD,313
865,WARRIGAL_RD N of HIGH STREET_RD,286
884,WARRIGAL_RD N of HIGH STREET_RD,297
903,WARRIGAL_RD N of HIGH STREET_RD,299
922,WARRIGAL_RD N of HIGH STREET_RD,330
941,WARRIGAL_RD N of HIGH STREET_RD,295
960,WARRIGAL_RD N of HIGH STREET_RD,297
979,WARRIGAL_RD N of HIGH STREET_RD,234
998,WARRIGAL_RD N of HIGH STREET_RD,309
1017,WARRIGAL_RD N of HIGH STREET_RD,282
1036,WARRIGAL_RD N of HIGH STREET_RD,271
1055,WARRIGAL_RD N of HIGH STREET_RD,240
1074,WARRIGAL_RD N of HIGH STREET_RD,260
1093,WARRIGAL_RD N of HIGH STREET_RD,261
