,Location,value
381,WARRIGAL_RD N of HIGH STREET_RD,28
400,WARRIGAL_RD N of HIGH STREET_RD,26
419,WARRIGAL_RD N of HIGH STREET_RD,57
438,WARRIGAL_RD N of HIGH STREET_RD,57
457,WARRIGAL_RD N of HIGH STREET_RD,70
476,WARRIGAL_RD N of HIGH STREET_RD,136
495,WARRIGAL_RD N of HIGH STREET_RD,221
514,WARRIGAL_RD N of HIGH STREET_RD,196
533,WARRIGAL_RD N of HIGH STREET_RD,239
552,WARRIGAL_RD N of HIGH STREET_RD,366
571,WARRIGAL_RD N of HIGH STREET_RD,355
590,WARRIGAL_RD N of HIGH STREET_RD,400
609,WARRIGAL_RD N of HIGH STREET_RD,401
628,WARRIGAL_RD N of HIGH STREET_RD,400
647,WARRIGAL_RD N of HIGH STREET_RD,395
666,WARRIGAL_RD N of HIGH STREET_RD,367
685,WARRIGAL_RD N of HIGH STREET_RD,315
704,WARRIGAL_RD N of HIGH STREET_RD,308
723,WARRIGAL_RD N of HIGH STREET_RD,302
742,WARRIGAL_RD N of HIGH STREET_RD,306
761,WARRIGAL_RD N of HIGH STREET_RD,245
780,WARRIGAL_RD N of HIGH STREET_RD,286
799,WARRIGAL_RD N of HIGH STREET_RD,279
818,WARRIGAL_RD N of HIGH STREET_RD,275
837,WARRIGAL_RD N of HIGH STREET_RD,227
856,WARRIGAL_RD N of HIGH STREET_RD,234
875,WARRIGAL_RD N of HIGH STREET_RD,236
894,WARRIGAL_RD N of HIGH STREET_RD,239
913,WARRIGAL_RD N of HIGH STREET_RD,320
932,WARRIGAL_RD N of HIGH STREET_RD,254
951,WARRIGAL_RD N of HIGH STREET_RD,242
970,WARRIGAL_RD N of HIGH STREET_RD,261
989,WARRIGAL_RD N of HIGH STREET_RD,251
1008,WARRIGAL_RD N of HIGH STREET_RD,290
1027,WARRIGAL_RD N of HIGH STREET_RD,254
1046,WARRIGAL_RD N of HIGH STREET_RD,256
1065,WARRIGAL_RD N of HIGH STREET_RD,283
1084,WARRIGAL_RD N of HIGH STREET_RD,226
1103,WARRIGAL_RD N of HIGH STREET_RD,276
1122,WARRIGAL_RD N of HIGH STREET_RD,271
1141,WARRIGAL_RD N of HIGH STREET_RD,281
1160,WARRIGAL_RD N of HIGH STREET_RD,285
1179,WARRIGAL_RD N of HIGH STREET_RD,306
1198,WARRIGAL_RD N of HIGH STREET_RD,301
1217,WARRIGAL_RD N of HIGH STREET_RD,327
1236,WARRIGAL_RD N of HIGH STREET_RD,340
1255,WARRIGAL_RD N of HIGH STREET_RD,294
1274,WARRIGAL_RD N of HIGH STREET_RD,326
1293,WARRIGAL_RD N of HIGH STREET_RD,277
1312,WARRIGAL_RD N of HIGH STREET_RD,382
1331,WARRIGAL_RD N of HIGH STREET_RD,320
1350,WARRIGAL_RD N of HIGH STREET_RD,377
1369,WARRIGAL_RD N of HIGH STREET_RD,259
1388,WARRIGAL_RD N of HIGH STREET_RD,298
1407,WARRIGAL_RD N of HIGH STREET_RD,218
1426,WARRIGAL_RD N of HIGH STREET_RD,190
1445,WARRIGAL_RD N of HIGH STREET_RD,186
1464,WARRIGAL_RD N of HIGH STREET_RD,172
1483,WARRIGAL_RD N of HIGH STREET_RD,161
1502,WARRIGAL_RD N of HIGH STREET_RD,158
1521,WARRIGAL_RD N of HIGH STREET_RD,134
1540,WARRIGAL_RD N of HIGH STREET_RD,141
1559,WARRIGAL_RD N of HIGH STREET_RD,119
1578,WARRIGAL_RD N of HIGH STREET_RD,142
1597,WARRIGAL_RD N of HIGH STREET_RD,103
1616,WARRIGAL_RD N of HIGH STREET_RD,108
1635,WARRIGAL_RD N of HIGH STREET_RD,111
1654,WARRIGAL_RD N of HIGH STREET_RD,102
1673,WARRIGAL_RD N of HIGH STREET_RD,107
1692,WARRIGAL_RD N of HIGH STREET_RD,114
1711,WARRIGAL_RD N of HIGH STREET_RD,80
1730,WARRIGAL_RD N of HIGH STREET_RD,60
1749,WARRIGAL_RD N of HIGH STREET_RD,62
1768,WARRIGAL_RD N of HIGH STREET_RD,48
1787,WARRIGAL_RD N of HIGH STREET_RD,44
1806,WARRIGAL_RD N of HIGH STREET_RD,26
2,WARRIGAL_RD N of HIGH STREET_RD,26
21,WARRIGAL_RD N of HIGH STREET_RD,32
40,WARRIGAL_RD N of HIGH STREET_RD,21
59,WARRIGAL_RD N of HIGH STREET_RD,14
78,WARRIGAL_RD N of HIGH STREET_RD,10
97,WARRIGAL_RD N of HIGH STREET_RD,12
116,WARRIGAL_RD N of HIGH STREET_RD,13
135,WARRIGAL_RD N of HIGH STREET_RD,10
154,WARRIGAL_RD N of HIGH STREET_RD,9
173,WARRIGAL_RD N of HIGH STREET_RD,7
192,WARRIGAL_RD N of HIGH STREET_RD,8
211,WARRIGAL_RD N of HIGH STREET_RD,5
230,WARRIGAL_RD N of HIGH STREET_RD,5
249,WARRIGAL_RD N of HIGH STREET_RD,6
268,WARRIGAL_RD N of HIGH STREET_RD,11
287,WARRIGAL_RD N of HIGH STREET_RD,12
306,WARRIGAL_RD N of HIGH STREET_RD,8
325,WARRIGAL_RD N of HIGH STREET_RD,11
344,WARRIGAL_RD N of HIGH STREET_RD,13
363,WARRIGAL_RD N of HIGH STREET_RD,10
382,WARRIGAL_RD N of HIGH STREET_RD,23
401,WARRIGAL_RD N of HIGH STREET_RD,37
420,WARRIGAL_RD N of HIGH STREET_RD,64
439,WARRIGAL_RD N of HIGH STREET_RD,95
458,WARRIGAL_RD N of HIGH STREET_RD,90
477,WARRIGAL_RD N of HIGH STREET_RD,183
496,WARRIGAL_RD N of HIGH STREET_RD,219
515,WARRIGAL_RD N of HIGH STREET_RD,251
534,WARRIGAL_RD N of HIGH STREET_RD,302
553,WARRIGAL_RD N of HIGH STREET_RD,307
572,WARRIGAL_RD N of HIGH STREET_RD,410
591,WARRIGAL_RD N of HIGH STREET_RD,351
610,WARRIGAL_RD N of HIGH STREET_RD,411
629,WARRIGAL_RD N of HIGH STREET_RD,408
648,WARRIGAL_RD N of HIGH STREET_RD,405
667,WARRIGAL_RD N of HIGH STREET_RD,372
686,WARRIGAL_RD N of HIGH STREET_RD,330
705,WARRIGAL_RD N of HIGH STREET_RD,366
724,WARRIGAL_RD N of HIGH STREET_RD,360
743,WARRIGAL_RD N of HIGH STREET_RD,317
762,WARRIGAL_RD N of HIGH STREET_RD,312
